30	5	12
1	2	1	16	14	2	B
2	3	1	18	16	2	C
3	4	1	29	16	2	B
4	2	2	27	16	1	C
5	3	3	24	17	2	B
6	3	4	26	16	2	C
7	2	5	16	15	2	B
8	4	7	15	15	1	B
9	4	7	25	17	2	C
10	4	9	26	14	1	A
11	4	10	22	17	1	D
12	1	10	29	14	2	C
13	4	12	27	15	1	A
14	4	14	26	17	1	D
15	2	14	20	14	1	D
16	3	14	12	16	1	B
17	3	14	29	15	2	B
18	2	16	12	14	2	B
19	2	16	28	16	1	C
20	2	16	28	17	2	B
21	3	17	15	15	1	A
22	2	17	27	14	1	C
23	2	19	21	17	2	B
24	3	19	25	17	1	B
25	2	21	22	14	2	C
26	2	21	28	16	2	B
27	3	23	19	15	2	C
28	4	24	16	15	1	C
29	3	25	22	14	1	C
30	3	27	19	16	2	B
31	2	27	21	17	1	C
32	2	28	26	16	1	B
33	1	28	22	15	2	B
34	4	29	25	17	1	C
35	2	29	21	14	1	B
36	1	31	14	16	2	C
37	1	31	19	15	2	C
38	2	32	27	17	2	C
39	4	32	23	14	2	D
40	2	34	16	15	2	A
41	2	35	29	14	1	B
42	2	35	17	16	1	A
43	4	36	23	17	1	C
44	3	38	16	16	2	A
45	3	38	15	15	2	C
-1
