19	1	12
1	3	2	5	3	3	C
2	4	2	6	3	3	C
3	3	2	6	3	3	A
4	4	8	5	4	5	B
5	2	8	6	4	5	C
6	2	11	6	4	3	C
7	1	13	5	3	3	C
8	3	15	5	3	4	C
9	3	17	5	3	4	A
10	1	17	6	3	5	B
11	3	21	5	4	6	D
12	2	25	5	3	5	B
13	4	26	6	4	6	B
14	4	32	6	3	6	D
15	1	33	5	3	6	A
16	3	37	6	4	6	B
17	2	40	6	4	6	A
18	4	41	6	4	5	A
19	2	44	6	3	6	C
20	3	49	5	4	5	D
21	1	50	6	4	6	B
22	4	54	6	4	6	A
23	2	59	6	4	3	C
24	3	64	6	3	5	A
25	2	69	6	4	5	C
26	3	69	5	4	5	C
27	2	70	6	4	5	B
28	4	74	5	3	3	B
29	3	79	6	4	4	C
30	4	82	5	3	3	A
-1
