30	7	11
1	1	2	18	11	2	A
2	2	5	20	11	2	B
3	3	7	21	9	4	C
4	2	10	18	11	2	C
5	4	10	20	9	4	D
6	4	11	16	9	2	B
7	4	12	18	12	2	C
8	2	14	17	9	4	B
9	3	16	15	10	2	B
10	3	19	15	12	3	D
11	3	20	21	10	3	B
12	4	23	15	11	3	A
13	3	25	21	10	3	A
14	2	26	20	10	4	A
15	3	29	16	10	3	C
16	4	31	21	10	3	C
17	3	31	21	11	3	B
18	2	31	19	10	2	B
19	4	31	16	9	3	C
20	2	31	15	11	3	B
21	1	31	15	10	4	C
22	3	34	20	10	4	C
23	3	37	16	11	2	A
24	4	40	21	12	4	B
25	3	41	20	11	2	A
26	3	42	20	10	4	D
27	4	44	19	9	3	A
28	2	45	20	11	4	B
29	4	45	21	11	2	B
30	1	47	21	11	2	C
31	2	49	21	10	2	A
32	4	49	21	11	3	C
33	2	50	20	10	4	C
34	3	52	18	11	4	B
35	4	52	18	9	4	A
-1
