29	7	13
1	4	4	18	8	4	C
2	3	6	13	8	4	C
3	3	7	18	8	4	B
4	2	11	13	7	4	A
5	4	15	14	8	4	A
6	4	15	16	8	2	A
7	2	20	13	9	4	B
8	2	20	15	9	3	A
9	3	23	16	8	4	C
10	4	25	15	9	2	C
11	2	30	16	8	4	B
12	2	35	14	7	4	C
13	2	38	17	9	3	A
14	3	40	16	7	3	D
15	3	42	15	8	4	D
16	3	45	15	9	3	B
17	2	48	17	7	4	B
18	3	48	14	7	4	B
19	2	49	17	8	4	B
20	3	53	17	7	4	A
21	3	54	15	8	3	B
22	2	59	12	8	4	A
23	3	62	16	9	4	C
24	4	65	13	7	3	C
25	2	65	18	9	4	C
26	3	68	12	7	3	C
27	3	73	12	9	4	C
28	1	73	17	9	2	B
29	3	76	13	9	2	D
30	3	76	14	8	2	A
31	4	79	13	7	3	C
32	1	81	18	9	3	A
33	2	84	18	7	4	B
34	3	86	13	8	3	D
35	1	91	14	8	3	A
36	2	94	16	8	2	A
37	3	97	14	9	3	C
38	1	101	14	9	4	D
39	4	103	16	7	4	A
40	3	103	15	8	2	B
-1
