25	7	14
1	4	2	6	3	3	A
2	4	6	6	3	3	A
3	3	8	5	3	4	C
4	1	11	6	3	4	D
5	2	14	5	3	5	B
6	4	20	5	4	5	B
7	2	20	6	4	3	B
8	1	21	6	3	3	C
9	3	26	5	4	5	B
10	2	32	5	3	4	A
11	3	38	5	4	3	B
12	2	42	6	4	6	B
13	2	48	6	4	6	A
14	3	53	6	4	6	A
15	3	56	6	3	4	C
16	1	59	5	4	3	B
17	3	62	6	3	5	B
18	2	67	5	3	4	C
19	2	67	5	4	6	B
20	1	68	6	3	4	A
21	2	71	5	3	3	B
22	4	73	6	4	4	D
23	1	76	5	4	4	A
24	4	81	6	4	5	B
25	4	85	6	4	4	C
26	2	85	5	3	6	A
27	4	87	6	3	4	A
28	2	91	5	3	4	D
29	2	97	5	3	6	B
30	3	97	5	4	4	B
-1
